  4.5217885770490405e+000  4.5951198501345898e+000  0.0000000000000000e+000  2.0794415416798357e+000  2.7080502011022101e+000  4.2046926193909657e+000  4.3040650932041693e+000  3.9318256327243257e+000  4.0604430105464191e+000  3.6888794541139363e+000
  4.5849674786705723e+000  4.3820266346738812e+000  1.9459101490553132e+000  2.6390573296152584e+000  2.7725887222397811e+000  4.2904594411483910e+000  4.0073331852324712e+000  4.0430512678345503e+000  4.1588830833596715e+000  3.7135720667043080e+000
  1.3862943611198906e+000  4.3944491546724391e+000  4.4773368144782069e+000  2.9957322735539909e+000  3.0910424533583161e+000  3.9889840465642745e+000  4.0253516907351496e+000  4.1431347263915326e+000  4.2484952420493594e+000  3.8501476017100584e+000
  4.4426512564903167e+000  4.4659081186545837e+000  2.9444389791664403e+000  3.0445224377234230e+000  1.0986122886681096e+000  4.0943445622221004e+000  4.1271343850450917e+000  4.2341065045972597e+000  4.2626798770413155e+000  3.3322045101752038e+000
  4.4543472962535073e+000  4.5325994931532563e+000  3.2188758248682006e+000  6.9314718055994529e-001  2.1972245773362196e+000  4.1108738641733114e+000  4.2195077051761070e+000  4.3174881135363101e+000  3.9512437185814275e+000  3.5263605246161616e+000
  2.8332133440562162e+000  3.1780538303479458e+000  4.3307333402863311e+000  4.4188406077965983e+000  4.4998096703302650e+000  3.7376696182833684e+000  3.8918202981106265e+000  3.2580965380214821e+000  3.4965075614664802e+000  4.1743872698956368e+000
  3.1354942159291497e+000  1.6094379124341003e+000  4.4067192472642533e+000  4.4886363697321396e+000  4.5108595065168497e+000  3.8712010109078907e+000  3.4011973816621555e+000  3.4657359027997265e+000  3.6635616461296463e+000  4.1896547420264252e+000
  4.3694478524670215e+000  1.7917594692280550e+000  2.5649493574615367e+000  4.5538768916005408e+000  4.5747109785033828e+000  3.3672958299864741e+000  3.4339872044851463e+000  3.6375861597263857e+000  3.8066624897703196e+000  4.2766661190160553e+000
  2.3025850929940459e+000  2.4849066497880004e+000  4.5432947822700038e+000  4.5643481914678361e+000  4.3567088266895917e+000  3.5553480614894135e+000  3.6109179126442243e+000  3.7841896339182610e+000  3.8286413964890951e+000  3.9702919135521220e+000
  2.3978952727983707e+000  2.8903717578961645e+000  4.6051701859880918e+000  4.3438054218536841e+000  4.4308167988433134e+000  3.5835189384561099e+000  3.7612001156935624e+000  3.9120230054281460e+000  3.2958368660043291e+000  4.0775374439057197e+000
